1.260000 +103.80000
0.001000 0.001000
304.484600 36.052500 304.484000 36.052500
304.485400 41.109700 304.499000 41.108900
304.485400 46.109700 304.517000 46.109000
309.485400 36.109400 309.486000 36.103900
309.485400 41.109700 309.501000 41.105300
309.485400 46.109700 309.518000 46.105000
314.485400 36.109400 314.490000 36.100500
314.485400 41.109700 314.503000 41.102600
314.485400 46.109700 314.521000 46.102800
319.485400 36.109400 319.493000 36.098100
319.485400 41.109700 319.506000 41.100300
1.260000 +103.80000
0.001000 0.001000
319.505400 41.100000 319.505000 41.100100
319.485800 46.109700 319.502000 46.110100
